,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
BDI_01,1.0,0.35,0.24,0.24,0.26,0.18,0.37,0.15,0.24,0.38,0.26,0.2,0.16,0.11,0.04,0.19,0.14,0.12,0.09,-0.06,0.15,0.22,0.16,0.4,0.19,0.26,0.15,0.33,0.32,0.13,0.06,0.22,0.34,0.29,0.28,0.16,0.28,0.23,0.56,0.26,0.19,0.27,0.22,0.37,0.29,0.26,0.12,0.13,0.07,0.1,0.04,0.2,0.09,0.08,0.02,0.09,0.28,0.37
BDI_02,0.35,1.0,0.51,0.43,0.18,0.25,0.46,0.31,0.35,0.31,0.25,0.35,0.46,0.2,0.31,0.29,0.21,0.23,0.08,0.0,0.33,0.36,0.36,0.47,0.18,0.27,0.38,0.24,0.43,0.21,0.13,0.25,0.43,0.19,0.57,0.36,0.21,0.18,0.33,0.34,0.32,0.34,0.2,0.41,0.22,0.22,0.16,0.14,0.15,0.18,0.08,0.26,0.06,0.04,0.03,0.06,0.22,0.39
BDI_03,0.24,0.51,1.0,0.29,0.33,0.29,0.48,0.39,0.32,0.35,0.14,0.25,0.34,0.13,0.25,0.23,0.17,0.12,0.17,-0.06,0.24,0.33,0.38,0.37,0.1,0.2,0.22,0.19,0.4,0.12,0.17,0.16,0.44,0.08,0.5,0.32,0.15,0.15,0.16,0.25,0.28,0.13,0.1,0.29,0.28,0.25,0.12,0.12,0.1,0.09,0.05,0.11,0.03,-0.0,0.03,0.01,0.14,0.35
BDI_04,0.24,0.43,0.29,1.0,0.29,0.21,0.35,0.23,0.3,0.38,0.3,0.68,0.51,0.24,0.27,0.52,0.47,0.53,0.18,0.13,0.69,0.33,0.55,0.38,0.36,0.23,0.18,0.27,0.33,0.33,0.18,0.15,0.4,0.19,0.27,0.13,0.58,0.19,0.21,0.42,0.55,0.36,0.28,0.23,0.24,0.26,0.13,0.13,0.11,0.3,0.07,0.26,0.17,0.11,0.22,0.15,0.16,0.35
BDI_05,0.26,0.18,0.33,0.29,1.0,0.43,0.26,0.43,0.35,0.29,0.18,0.21,0.35,0.07,0.16,0.24,0.22,0.11,0.15,0.06,0.22,0.31,0.21,0.36,0.31,0.46,0.25,0.49,0.48,0.29,0.24,0.13,0.32,0.31,0.21,0.22,0.26,0.23,0.34,0.2,0.1,0.28,0.24,0.16,0.6,0.15,0.09,0.12,0.09,0.1,-0.06,0.17,0.04,-0.0,0.02,-0.04,0.14,0.26
BDI_06,0.18,0.25,0.29,0.21,0.43,1.0,0.28,0.21,0.27,0.14,0.26,0.15,0.24,0.12,0.13,0.13,0.08,0.1,0.02,0.12,0.14,0.05,0.11,0.17,0.07,0.16,0.31,0.02,0.22,0.07,0.11,-0.01,0.12,0.08,0.17,0.1,0.02,0.13,0.16,0.17,0.14,0.15,0.16,0.08,0.38,0.2,0.03,0.04,0.03,0.16,0.08,0.21,-0.0,0.01,0.06,-0.05,0.03,0.11
BDI_07,0.37,0.46,0.48,0.35,0.26,0.28,1.0,0.35,0.26,0.31,0.43,0.32,0.28,0.14,0.2,0.22,0.11,0.2,0.19,-0.06,0.27,0.32,0.28,0.26,0.21,0.27,0.14,0.19,0.31,0.1,0.06,0.14,0.32,0.15,0.25,0.18,0.22,0.25,0.32,0.23,0.38,0.27,0.12,0.2,0.22,0.21,0.12,0.11,0.09,0.05,0.01,0.27,0.04,-0.04,-0.05,0.1,0.11,0.24
BDI_08,0.15,0.31,0.39,0.23,0.43,0.21,0.35,1.0,0.39,0.23,0.15,0.24,0.36,0.13,0.29,0.21,0.21,0.09,0.11,0.06,0.18,0.22,0.24,0.19,0.23,0.33,0.35,0.22,0.4,0.16,0.3,0.05,0.28,0.19,0.22,0.14,0.13,0.37,0.2,0.26,0.23,0.23,0.18,0.29,0.38,0.19,0.11,0.13,0.15,0.18,0.16,0.22,0.05,0.06,0.02,0.04,0.22,0.27
BDI_09,0.24,0.35,0.32,0.3,0.35,0.27,0.26,0.39,1.0,0.21,0.15,0.24,0.33,0.18,0.1,0.25,0.16,0.19,0.22,0.12,0.27,0.31,0.26,0.41,0.25,0.29,0.44,0.25,0.39,0.2,0.17,0.26,0.42,0.19,0.4,0.19,0.15,0.15,0.23,0.24,0.31,0.16,0.22,0.3,0.32,0.49,0.2,0.22,0.18,0.14,0.1,0.19,0.11,0.11,0.13,0.04,0.26,0.37
BDI_10,0.38,0.31,0.35,0.38,0.29,0.14,0.31,0.23,0.21,1.0,0.3,0.39,0.32,0.12,0.03,0.32,0.3,0.27,0.16,-0.06,0.33,0.21,0.3,0.24,0.14,0.35,0.19,0.29,0.32,0.11,0.19,0.2,0.34,0.18,0.3,0.19,0.37,0.23,0.36,0.18,0.27,0.11,0.15,0.24,0.27,0.21,0.02,0.04,0.0,0.0,-0.07,0.19,0.04,0.01,0.03,0.02,0.25,0.42
BDI_11,0.26,0.25,0.14,0.3,0.18,0.26,0.43,0.15,0.15,0.3,1.0,0.25,0.27,0.06,0.23,0.23,0.26,0.22,0.16,0.05,0.24,0.16,0.14,0.11,0.22,0.24,0.1,0.15,0.23,0.08,0.12,0.15,0.2,0.21,0.1,0.04,0.19,0.19,0.37,0.23,0.18,0.18,0.12,0.14,0.18,0.11,0.09,0.11,0.1,0.1,0.02,0.47,-0.0,-0.0,0.08,-0.01,0.19,0.23
BDI_12,0.2,0.35,0.25,0.68,0.21,0.15,0.32,0.24,0.24,0.39,0.25,1.0,0.44,0.28,0.18,0.38,0.42,0.44,0.24,0.07,0.71,0.28,0.56,0.34,0.26,0.22,0.18,0.16,0.2,0.19,0.13,0.08,0.38,0.15,0.28,0.2,0.36,0.18,0.15,0.31,0.61,0.19,0.2,0.22,0.21,0.2,0.04,0.03,0.04,0.25,0.01,0.19,0.12,0.09,0.16,0.15,0.2,0.31
BDI_13,0.16,0.46,0.34,0.51,0.35,0.24,0.28,0.36,0.33,0.32,0.27,0.44,1.0,0.18,0.44,0.44,0.45,0.36,0.16,0.05,0.47,0.21,0.42,0.25,0.27,0.18,0.34,0.15,0.42,0.31,0.33,0.03,0.31,0.17,0.34,0.2,0.22,0.15,0.15,0.44,0.31,0.2,0.17,0.15,0.3,0.2,0.18,0.15,0.19,0.26,0.13,0.22,0.12,0.1,0.11,0.07,0.15,0.29
BDI_14,0.11,0.2,0.13,0.24,0.07,0.12,0.14,0.13,0.18,0.12,0.06,0.28,0.18,1.0,-0.01,0.24,0.32,0.29,0.31,0.31,0.32,0.07,0.1,0.13,0.03,0.05,0.17,0.07,0.03,0.05,0.12,0.09,0.26,0.11,0.1,0.05,0.11,0.03,0.12,0.4,0.59,0.05,0.01,0.04,-0.0,-0.04,0.04,0.01,0.08,0.06,0.03,-0.01,0.05,0.15,0.08,0.26,0.1,0.04
BDI_15,0.04,0.31,0.25,0.27,0.16,0.13,0.2,0.29,0.1,0.03,0.23,0.18,0.44,-0.01,1.0,0.17,0.25,0.12,-0.03,-0.01,0.15,0.06,0.21,0.15,0.14,0.04,0.13,-0.0,0.36,0.21,0.2,-0.03,0.18,0.12,0.2,0.14,0.02,0.13,0.01,0.29,0.15,0.24,0.1,0.15,0.28,0.07,0.15,0.12,0.19,0.3,0.15,0.29,0.04,0.01,-0.01,0.04,0.08,0.1
