,BDI_01,BDI_02,BDI_03,BDI_04,BDI_05,BDI_06,BDI_07,BDI_08,BDI_09,BDI_10,BDI_11,BDI_12,BDI_13,BDI_14,BDI_15,BDI_16,BDI_17,BDI_18,BDI_19,BDI_20,BDI_21,GDS_01,GDS_02,GDS_03,GDS_04,GDS_05,GDS_06,GDS_07,GDS_08,GDS_09,GDS_10,GDS_11,GDS_12,GDS_13,GDS_14,GDS_15,HADS_02,HADS_04,HADS_06,HADS_08,HADS_10,HADS_12,HADS_14,HAMD_01,HAMD_02,HAMD_03,HAMD_04,HAMD_05,HAMD_06,HAMD_07,HAMD_08,HAMD_09,HAMD_12,HAMD_13,HAMD_14,HAMD_16,NPI_D_screen,MDS-UPDRS_1.3
GDS_04,0.87,0.87,0.86,0.87,0.85,0.86,0.88,0.86,0.84,0.87,0.87,0.86,0.84,0.86,0.87,0.87,0.89,0.84,0.81,0.84,0.86,0.89,0.88,0.9,1.0,0.85,0.85,0.9,0.96,0.89,0.9,0.86,0.9,0.92,0.9,0.9,0.88,0.88,0.87,0.85,0.83,0.9,0.84,0.77,0.77,0.68,0.83,0.84,0.81,0.8,0.74,0.69,0.8,0.8,0.79,0.75,0.88,0.87
GDS_05,0.77,0.85,0.84,0.84,0.9,0.79,0.83,0.85,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.83,0.84,0.85,0.8,0.81,0.82,0.89,0.88,0.88,0.85,1.0,0.85,0.93,0.84,0.88,0.88,0.87,0.88,0.88,0.89,0.89,0.85,0.86,0.8,0.81,0.83,0.87,0.81,0.75,0.7,0.58,0.79,0.79,0.78,0.79,0.75,0.58,0.77,0.78,0.75,0.71,0.85,0.86
GDS_06,0.77,0.83,0.86,0.89,0.83,0.78,0.82,0.85,0.89,0.83,0.79,0.86,0.84,0.87,0.87,0.85,0.84,0.85,0.78,0.85,0.84,0.87,0.82,0.9,0.85,0.85,1.0,0.86,0.85,0.9,0.89,0.91,0.87,0.83,0.91,0.92,0.85,0.88,0.74,0.81,0.79,0.84,0.78,0.76,0.68,0.55,0.73,0.73,0.71,0.76,0.71,0.56,0.75,0.78,0.75,0.68,0.86,0.88
GDS_07,0.85,0.86,0.84,0.89,0.93,0.8,0.86,0.84,0.84,0.87,0.86,0.85,0.84,0.85,0.84,0.88,0.88,0.87,0.8,0.84,0.83,0.89,0.84,0.93,0.9,0.93,0.86,1.0,0.91,0.89,0.91,0.88,0.92,0.91,0.91,0.9,0.87,0.9,0.85,0.84,0.81,0.88,0.8,0.77,0.75,0.6,0.8,0.82,0.78,0.77,0.72,0.61,0.78,0.78,0.75,0.75,0.88,0.87
GDS_08,0.87,0.85,0.85,0.86,0.84,0.85,0.86,0.85,0.83,0.86,0.87,0.84,0.83,0.85,0.83,0.85,0.86,0.82,0.8,0.84,0.84,0.89,0.85,0.92,0.96,0.84,0.85,0.91,1.0,0.87,0.91,0.86,0.94,0.92,0.92,0.9,0.85,0.87,0.87,0.86,0.82,0.88,0.79,0.77,0.77,0.66,0.8,0.81,0.8,0.77,0.74,0.69,0.78,0.8,0.79,0.74,0.9,0.85
GDS_09,0.79,0.86,0.88,0.9,0.86,0.84,0.84,0.85,0.91,0.87,0.84,0.91,0.9,0.89,0.89,0.89,0.87,0.87,0.82,0.87,0.89,0.88,0.87,0.91,0.89,0.88,0.9,0.89,0.87,1.0,0.91,0.9,0.88,0.88,0.91,0.92,0.88,0.88,0.8,0.82,0.83,0.88,0.86,0.81,0.73,0.61,0.8,0.81,0.8,0.86,0.79,0.6,0.82,0.84,0.82,0.73,0.89,0.91
GDS_10,0.81,0.84,0.88,0.88,0.87,0.82,0.84,0.87,0.88,0.87,0.87,0.89,0.87,0.88,0.87,0.87,0.88,0.87,0.82,0.88,0.88,0.89,0.88,0.94,0.9,0.88,0.89,0.91,0.91,0.91,1.0,0.89,0.92,0.9,0.93,0.93,0.87,0.89,0.81,0.85,0.84,0.89,0.82,0.78,0.73,0.59,0.8,0.8,0.79,0.82,0.82,0.61,0.81,0.84,0.82,0.73,0.9,0.9
GDS_11,0.8,0.85,0.89,0.87,0.86,0.84,0.85,0.86,0.88,0.87,0.81,0.86,0.85,0.87,0.85,0.85,0.84,0.86,0.79,0.83,0.86,0.89,0.82,0.91,0.86,0.87,0.91,0.88,0.86,0.9,0.89,1.0,0.9,0.89,0.93,0.93,0.87,0.87,0.8,0.85,0.83,0.86,0.81,0.77,0.71,0.6,0.75,0.75,0.76,0.76,0.74,0.58,0.78,0.8,0.77,0.7,0.86,0.85
GDS_12,0.83,0.84,0.87,0.89,0.86,0.82,0.84,0.83,0.83,0.87,0.86,0.85,0.84,0.86,0.84,0.86,0.88,0.87,0.79,0.86,0.84,0.9,0.83,0.92,0.9,0.88,0.87,0.92,0.94,0.88,0.92,0.9,1.0,0.91,0.92,0.93,0.86,0.88,0.83,0.87,0.81,0.87,0.77,0.74,0.71,0.57,0.79,0.79,0.79,0.75,0.72,0.59,0.79,0.8,0.77,0.71,0.87,0.85
GDS_13,0.85,0.88,0.87,0.84,0.86,0.86,0.87,0.86,0.84,0.88,0.87,0.86,0.85,0.87,0.85,0.85,0.87,0.85,0.84,0.86,0.87,0.89,0.87,0.91,0.92,0.88,0.83,0.91,0.92,0.88,0.9,0.89,0.91,1.0,0.9,0.9,0.87,0.86,0.89,0.88,0.85,0.9,0.84,0.79,0.78,0.67,0.84,0.84,0.84,0.82,0.78,0.67,0.84,0.85,0.82,0.79,0.89,0.85
GDS_14,0.84,0.87,0.89,0.86,0.86,0.85,0.88,0.89,0.9,0.85,0.84,0.87,0.85,0.89,0.85,0.84,0.85,0.84,0.81,0.86,0.87,0.93,0.87,0.96,0.9,0.89,0.91,0.91,0.92,0.91,0.93,0.93,0.92,0.9,1.0,0.93,0.85,0.87,0.82,0.84,0.86,0.87,0.81,0.83,0.78,0.62,0.78,0.78,0.78,0.81,0.75,0.63,0.79,0.82,0.8,0.74,0.91,0.88
GDS_15,0.81,0.86,0.92,0.9,0.87,0.84,0.85,0.87,0.89,0.88,0.85,0.9,0.88,0.89,0.88,0.87,0.88,0.87,0.82,0.85,0.88,0.89,0.86,0.92,0.9,0.89,0.92,0.9,0.9,0.92,0.93,0.93,0.93,0.9,0.93,1.0,0.88,0.9,0.8,0.86,0.83,0.88,0.82,0.76,0.7,0.58,0.78,0.78,0.78,0.79,0.76,0.6,0.79,0.81,0.78,0.7,0.88,0.87
HADS_02,0.85,0.9,0.88,0.94,0.89,0.84,0.87,0.86,0.87,0.91,0.85,0.91,0.87,0.87,0.86,0.91,0.93,0.91,0.83,0.85,0.89,0.85,0.84,0.87,0.88,0.85,0.85,0.87,0.85,0.88,0.87,0.87,0.86,0.87,0.85,0.88,1.0,0.9,0.86,0.85,0.85,0.91,0.87,0.74,0.71,0.57,0.79,0.8,0.77,0.79,0.71,0.57,0.78,0.8,0.78,0.71,0.84,0.87
